question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
"916. an 83yo man with longstanding copd has become progressively breathless over the last 2yrs. he is on salbutamol, ipratropium, salmetarol, beclomethasone and theophylline. his fev1<30%. what is the next appropriate management?",a. lung transplant,b. trial of cpap,c. trial of non-invasive ventilation,d. assessment for long term o2 therapy,e. short course of o2 therapy,,,,,,"key: the key is d. assessment for long term o2 therapy. [patient is progressively breathless with present fev1 of <30%. so his respiratory deterioration indicates progressive respiratory failure for which he should be assessed for long term o2 therapy.  long-term oxygen therapy (ltot) for more than 15 h/day improved mortality and morbidity in a well-defined group of patients with chronic obstructive pulmonary disease. requirement of condition to proceed to ltot is patient should be stable and on appropriate optimum therapy (as in given case) and having stopped smoking tobacco. patient should be shown to have a pao2 less than 7.3 kpa and/or a paco2 greater than 6 kpa on two occasions at least 3 weeks apart. fev1 should be less than 1.5 litres, and there should be a less than 15% improvement in fev1 after bronchodilators. patients with a pao2 between 7.3 and 8 kpa who have polycythaemia, right heart failure or pulmonary hypertension may gain benefit from ltot].",,
"917. a 49yo man complains of fullness in his left ear, recurrent vomiting and tinnitus. what is the most appropriate med?",a. buccal prochlorperazine,b. oral chlorpheniramine,c. oral flupenphenazine,d. buccal midazolam,e. iv rantidine,,,,,,"key: the key is a. buccal prochlorperazine. [meniere’s disease dilatation of the endolymphatic spaces of the membranous labyrinth causes vertigo for ~12h with prostration, nausea/vomiting, a feeling of fullness in the ear; uni- or bilateral tinnitus, sensorineural deafness (eg fluctuating). attacks occur in clusters (<20/month). cause: a mystery! electrocochleography; endolymphatic space mri. prochlorperazine as buccastemr 3mg/8h po (1st-line if vomiting) or betahistine 16mg/8h po or chlorthalidone may help. ref: ohcs, 9th edition, page 554].",,
918. a man had a soft mass on his mandible. mass is freely mobile and has started growing progressively over the past 6m. the mass still moves freely. what is the best inv for this pt?,a. fnac,b. ct,c. xr,d. mri,e. esr,,,,,,key: the key is a. fnac.,,
919. a 63yo man has been brought to the hosp after collapsing during a wedding. his ecg is below. what is the most likely dx?,a. vt,b. a-fib,c. vf,d. a-flutter,e. svt,,,,,,"key: the key is c. vf. [qrs complex is chaotic, wide, bizarre and irregular which is characteristic of ventricular fivrillation].",,
"920. a 75yo war veteran complains of loss of appetite and says he has lost weight over the past few months. he says that he has passed some blood in his urine, however, he had no pain. a recent report shows that psa >5.5ng/ml. how will you manage this pt?",a. radical prostatectomy,b. turp,c. cryosurgery,d. brachytherapy,e. irradiation,,,,,,key: the key is a. radical prostatectomy. this answer is controversial. [though psa is a bit higher than normal it is not confirmatory of carcinoma! but loss of appetite and weight loss are highly suggestive of cancer in this 75yrs old man. active surveillance is offered first for low gleason score. esp at age of 75. and any other treatment depending on extension of tumor will be offered after excluding mets].,,
"921. a 19yo boy comes to the ed with pain, swelling and tenderness 2cm distal to lister’s tubercle of radius. exam: proximal pressure on the extended thumb and index finger is painful. xr: no fx. what is the next appropriate management for the pt?",a. immobilization with cast,b. repeat xr,c. mri,d. surgery,e. none,,,,,,"key: the key is a. immobilization with cast. this is wrong key! correct key is c. mri. [imaging: request a dedicated ‘scaphoid’ series. if –ve, and fracture is suspected mri has been shown to be sensitive and cost-eff ective. ct is an alternative. if neither is available, cast and re-x-ray in 2 weeks. ref: ohcs, 9th edition, page-744].",,
"922. a 71yo man with a hx of 50yrs of smoking presents with cough, hemoptysis, dyspnea and chest pain. he also has anorexia and weight loss. the dx of lung cancer has been stabilized. which electrolyte abnormality can be seen?",a. hyperkalemia,b. hypocalcemia,c. hyponatremia,d. hypernatremia,e. hypomagnesemia,,,,,,key: the key is c. hyponatremia. [likely diagnosis is squamous cell lung cancer (as the patient is smoker) causing siadh and resulting hyponatremia].,,
923. a 56yo man who is hypertensive recently underwent a change in meds. 2days later he developed wheezing. which drug can cause this?,a. atenolol,b. ramipril,c. bendroflumethiazide,d. verapamil,e. furosemide,,,,,,key: the key is a. atenolol. [beta blockers can precipitate asthma attacks].,,
"924. a 33yo man has a temp=38.5c, cough and chest pain on the right side on inspiration. he also has purulent sputum. what is the most likely organism to cause pneumonia in this pt?",a. gram +ve diplococcic,b. coagulase +ve cocci,c. pcp cold agglutinins,d. afb,e. gram –ve diplococcic,,,,,,key: the key is c. pcp cold agglutinins. it is wrong key! correct key should be a. gram +ve diplococci. [it is a case of community acquired pneumonia caused by streptococcus pneumoniae].,,
925. a young man’s arm was caught in a machine. xr showed no fx but arm is very swollen. what is the best tx?,a. plaster cast,b. wide splint with upward position,c. analgesics,d. antibiotics,e. tetanus prophylaxis,,,,,,key: the key is b. wide splint with upward position. [if the limb is kept hanging it will aggravate the swelling as fluid shifts to dependant part. here wide splint with upward position will help the accumulated blood or fluid to move down and will improve the swelling].,,
926. a child was brought in to ed by his parents for taking his grand-dad’s meds. there is an extra systole in the ecg. which drug was taken?,a. digoxin,b. amitryptiline,c. atenolol,d. ramipril,e. bendroflumethiazide,,,,,,key: the key is a. digoxin. [both digoxin and amitryptiline can cause extrasystole].,,
"927. a 5yo child came from ghana 6wks ago. 2d ago he developed fever, vomiting and neck stiffness. he had taken malaria prophylaxis and had no rash. what is the dx?",a. cerebral abscess,b. cerebral malaria,c. meningococcal meningitis,d. sah,e. cerebral tumor,f. pneumonia,,,,,"key: the key is b. cerebral malaria. [incubation period of malaria is 7 – 30 days. malaria prophylaxis cannot give confirmed protection and there is often failure of prophylaxis. fever, vomiting, neck stiffness are consistent with cerebral malaria].",,
"928. a htn pt on bendroflumethiazide 2.5mg/d has come for his routine checkup. exam: bp=145/85mmhg. lab: k+=5.9, na+=137. what is the most appropriate management for this pt?",a. stop meds,b. continue same dose,c. increase the dose,d. decrease the dose,e. repeat the blood test,,,,,,key: the key is e. repeat the blood test. [bendroflumethiazide causes hyponatremia and hypokalemia. but the findings are opposite which is probably error of test. hence blood test should be repeated to confirm the level of potassium and sodium].,,
"929. a 65yo man presents with significant weight loss and complains of cough, sob and chest pain. exam: left pupil constricted, drooping of left eyelid. what is the most likely dx?",a. pancoast tumor,b. thoracic outlet syndrome,c. cervical rib,d. pneumonia,e. bronchogenic ca,,,,,,key: the key is a. pancoast tumor. [pancoast tumour is the apical lung cancer that is associated with destructive lesions of the thoracic inlet and involvement of the brachial plexus and cervical sympathetic nerves (the stellate ganglion) leading to horner’s syndrome].,,
"930. a 4yo boy presents with fever, sore throat and lymphadenopathy. the dx of tonsillitis has been made. he had 3 episodes last yr. what is the most appropriate management for this pt?",a. tonsillectomy,b. paracetamol/ibuprofen,c. oral penicillin v,d. iv penicillin,e. none,,,,,,"key: the key is b. paracetamol/ibuprofen. this is wrong key! correct key is c. oral penicillin v. [one of the indications of antibiotics is presence of three or more centor criteria and as the patient fulfilled three centor criteria he should be given antibiotics. patient has the following three centor criteria: 1. history of fever 2. lymphadenopathy and 3. absence of cough. management of tonsillitis according to nice guidelines are as follows: • antipyretic analgesics such as paracetamol and ibuprofen are of value. • for most patients, antibiotics have little effect on the duration of the condition or the severity of symptoms. the national institute for health and care excellence (nice) suggests that indications for antibiotics include:[1] features of marked systemic upset secondary to the acute sore throat. unilateral peritonsillitis. a history of rheumatic fever. an increased risk from acute infection (such as a child with diabetes mellitus or immunodeficiency). acute tonsillitis with three or more of the following centor criteria present: history of fever tonsillar exudates no  cough tender anterior cervical lymphadenopathy. [source: patient.info]. indications for tonsillectomy: • the child has five or more episodes of acute sore throat per year, documented by the parent or clinician. • symptoms have been occurring for at least a year. • the episodes of sore throat have been severe enough to disrupt the child's normal behaviour or day-to-day functioning.",,
931. a pt had passed a 4mm stone in his urine. he has a 3mm stone in the renal pelvis found on us. what is the management?,a. eswl,b. none,c. dormier basket,d. surgery,e. pcnl,,,,,,key: the key is b. none. •	[stones less than 5 mm in diameter pass spontaneously in up to 80% of people. •	stones between 5 mm and 10 mm in diameter pass spontaneously in about 50% of people. •	stones larger than 1 cm in diameter usually require intervention (urgent intervention is required if complete obstruction or infection is present). •	two thirds of stones that pass spontaneously will do so within four weeks of onset of symptoms]. ref: patient.info,,
"932. a 4yo boy presents with fever, severe ear ache, vomiting and anorexia. he also has mod tonsillitis. exam: tympanic membrane bulging. he came to the gp a few days ago and was dx with urti. what is the most appropriate dx?",a. oe,b. acute om,c. serous otitis,d. chronic suppurative om,e. mastoiditis,,,,,,"key: the key is b. acute om. [high fever, severe earache, vomiting, bulging tympanic membrane and h/o associated urti is highly suggestive of acute om].",,
933. a 3yo girl presents with complains of sudden right facial weakness and numbness and pain around her ear. there are no symptoms. what is the most appropriate dx?,a. sah,b. bell’s palsy,c. stroke,d. tia,e. subdural hemorrhage,,,,,,key: the key is b. bell’s palsy.,,
"934. a 6yo boy fell in the playground and has been holding his forearm complaining of pain. exam: no sign of deformity or swelling. however, there is minimal tenderness on exam. what is the dx?",a. fx mid radius,b. fx mid ulnar,c. fx neck of humerus,d. fx shaft of humerus,e. green stick fx of distal radius,,,,,,key: the key is e. green stick fx of distal radius.,,
"935. a 62yo man has been smoking about 15 cigarettes/day for 45yrs, and has been working as a builder since he was 24yo. he presents with chest pain, sob, weight loss. cxr shows bilateral fibrosis and left side pleural effusion. what is the best inv that will lead to dx?",a. cxr,b. pleural fluid aspiration of cytology,c. mri,d. pleural biopsy,e. ct,,,,,,key: the key is d. pleural biopsy. [there is asbestos exposure in builders and associated smoking greatly increases the possibility of developing mesothelioma and the given presentations are typical of mesothelioma. best investigation is pleural biopsy].,,
"936. during a basketball match, one of the players suddenly collapsed to the ground with coughing and sob. what is the inv of choice?",a. cxr,b. ct,c. mri,d. v/q scan,e. ctpa,,,,,,key: the key is a. cxr. [likely diagnosis is pneumothorax. so investigation of choice is cxr].,,
"937. a 57yo man having htn on oral anti-htn. however, he is finding it difficult to mobilize as he feels dizzy whenever he tries to get up. what is the most appropriate inv for him?",a. ambulatory bp,b. ecg,c. mri,d. cxr,e. ct,,,,,,key: the key is a. ambulatory bp. [ambulatory bp to document low bp as cause of presenting symptom. the case seems to be of postural hypotension and low bp as a result of given anti hypertensive].,,
938. a 33yo female complains of diplopia on upright gaze. exam: ptosis can be seen. there are no other complains or any significant pmh. what is the most appropriate inv for him?,a. ophthalmoscopy,b. visual field test,c. tft,d. ct,e. checking red reflex,,,,,,key: the key is e. checking red reflex. this is a wrong key. right key should be d. ct. [a case of 3rd nerve palsy. so to delineate the cause ct should be done].,,
"939. a tall rugby player was hit in the chest by a player of the opponent team. he developed breathlessness and his face went blue and purple. you have been called to look at him, how will you manage him?",a. insert a needle in the 2nd ics in the mid-clavicular line,b. insert a needle in the 5th ics in the mid-axillary line,c. intubate the pt,d. start cpr,e. give oxygen,,,,,,"key: the key is e. give oxygen. [1. the patient went blue and purple!! it is due to catch up of breath and it is not cyanosis of pneumothorax as cyanosis of pneumothorax takes time to develop and considered as a late feature. immediate feature is chest pain, tachycardia, tachypnea etc. there are no immediate feature mentioned according to which we can say pneumothorax is the diagnosis. collapse in sport’s trauma treatment is abc. even if pneumothorax as treatment modality 1st comes oxygen.  first oxygen mask is put and it takes few seconds!! why oxygen? it helps absorb air from pleural space (nitrogen) and speeds up the absorption of air 4 times as room air. then make the diagnosis on clinical ground and proceed for needle aspiration.",,
940. a young woman fell and hit her knee. exam: valgus test +ve. what ligament was most probably injured?,a. ant cruciate,b. medial collateral,c. lateral collateral,d. post cruciate,e. meniscus,,,,,,"key: the key is b. medial collateral. [the valgus stress test involves placing the leg into extension, with one hand placed as a pivot on the knee. with the other hand placed upon the foot applying an abducting force, an attempt is then made to force the leg at the knee into valgus. if the knee is seen to open up on the medial side, this is indicative of medial collateral ligament damage].",,
"941. a 75yo man comes in complaining of difficulty in passing urine, poor stream and dribbling at the end of voiding and anorexia. us shows bilateral hydronephrosis. what is the cause of these findings?",a. bph,b. renal stones,c. bladder stones,d. prostatic ca,e. uti,,,,,,"key: the key is d. prostatic ca. [elderly patient of 75yrs with obstructive symptoms of lower urinary tract, bilateral hydronephrosis all can occur in bph or ca prostate. anorexia is clincher here. it is a feature of carcinoma rather than bph].",,
"942. 2h after an appendectomy, a pt complains of a rapid hr and fever. he says there is also abdominal pain and pain in the shoulder area. what is happening to this pt?",a. intra-abdominal bleeding,b. anastomotic leak,c. sepsis,d. intestinal obstruction,,,,,,,key: the key is a. intra-abdominal bleeding.,,
943.  a 50yo man presents with the complaints of recurrent uti and occasional blood in the urine. some unusual cells have been seen in urine on routine exam. which of the following inv would you like to carry out now?,a. cystoscopy,b. urine c&s,c. xr kub,d. us,e. cbc,,,,,,key: the key is d. us. it is wrong key! correct key is a. cystoscopy. [likely diagnosis is bladder cancer. occasional blood in urine and unusual cells (suggestive of malignant cells) suggests the diagnosis. it is also true that in bladder cancer there occurs frequent uti like symptoms].,,
944. a 28yo drug user presents to ed collapsed and anuria. his serum k+=7.5mmol/l. cxr shows early pulmonary edema. what is the next appropriate management for this pt?,a. urgent hemodialysis,b. iv calcium gluconate,c. iv insulin + dextrose,d. furosemide,e. iv 0.9% ns,,,,,,key: the key is b. iv calcium gluconate. [in severe hyperkalemia iv calcium gluconate is given to protect the heart from cardiac arrest or life-threatening arrhythmias till definitive treatments are arranged].,,
"945.  dm man feels hot, painful lump near the anal region. what is the most probable dx?",a. anal fissure,b. abscess,c. hematoma,d. wart,e. external hemorrhoids,,,,,,key: the key is b. abscess. [dm patients are much prone to infection].,,
946. a 65yo lady with t1dm for the last 20y comes with a tender lump near the anal opening. she says she also has a fever. what tx should she get?,a. i&d + antibiotics,b. iv antibiotics,c. c&s of aspirate from swelling,d. painkillers,e. cautery of swelling,,,,,,key: the key is a. i&d + antibiotics. [d/d 1. perianal abscess 2. perianal hematoma 3. thrombosed piles. as infection is common in dm likely case is perianal abscess].,,
"947. an 80yo dm lady presents with redness and swelling over her right foot. it is tender to touch, warm and glossy. what are the complications this pt might develop?",a. meningitis,b. sepsis,c. ulcer,d. gangrene,,,,,,,key: the key is d. gangrene. [this is cellulitis which may progress to gangrene in a diabetic].,,
948. after surgery a pt’s left leg has become swollen and tender. the diameter of the calf has increased and passive movements cause pain. what is the most probable dx?,a. dvt,b. lymphedema,c. peripheral vascular disease,d. hematoma,e. superficial thrombophlebitis,,,,,,"key: the key is a. dvt. [swelling, tenderness and enlarged calf diameter are features of dvt supported by positive homan’s test (pain on passive movement)].",,
"949. 2h after an appendectomy, a pt complains of a rapid hr and fever. he says there is also abdominal pain and pain in the shoulder area. what is the first step in the management?",a. maintain iv access and give iv fluids,b. start iv antibiotics,c. insert ngt for intestinal decompression,d. cross match blood,e. emergency exploratory laparotomy,,,,,,key: the key is a. maintain iv access and give iv fluids. [probable leakage from stump. first step is maintain iv access and give iv fluid].,,
950. a pregnant woman presents with knee pain on movements. the pain becomes worse at the end of the day. radiology shows decreased joint space. labs: crp=12. what is the 1st line med?,a. paracetamol,b. nsaids,c. oral steroid,d. intra articular steroid,e. dmards,,,,,,"key: the key is a. paracetamol. [pain on movement, pain worse at end of day and decreased joint space are characteristic of osteoarthritis supported by no significant raise in inflammatory marker (crp=12). 1st line medicine is paracetamol].",,
"951. a 68yo man presents with muscle weakness. he is not able to climb stairs. he also complains of mild breathlessness. he says that he sometimes feels difficulty in swallowing food. labs: alp=216, ast=49, alt=43, ck=417, esr=16. what is the most likely dx?",a. polymyositis,b. polymyalgia rheumatic,c. muscular dystrophy,d. esophageal carcinoma,e. osteoarthritis,,,,,,"key: the key is a. polymyositis. [proxymal myopathy (not able to climb stairs), mild breathlessness (involvement of thoracic muscles or interstitial lung disease), dysphagia due to involvement of the oropharyngeal striated muscles and upper oesophagus)and raised ck suggests the diagnosis of polymyositis].",,
952. a 67yo builder presents with a persistent nodular lesion on upper part of pinna with some telangiectasia around the lesion. what is the dx?,a. basal cell,b. squamous cell,c. keratocanthoma,d. actinic keratosis,e. bowens disease,,,,,,key: the key is a. basal cell ca. [any ulcer which is located above the neck is always basal cell carcinoma until proven otherwise. source: samson notes].,,
953. a 68yo pt wakes up with slurred speech and right sided weakness. ct shows cerebral infarct. what is the most appropriate tx?,a. aspirin,b. alteplase,c. warfarin,d. clopidogrel,e. dipyridamole,,,,,,"key: the key is b. alteplase. it is a wrong key! the correct key is a. aspirin. [the window period to administer alteplase is 4.5 hours. if we cannot certain (here patient was in sleep, so time period is not possible to establish) this period we cannot proceed for alteplase].",,
"954. a 73yo man who is recovering from surgery on the left carotid artery in his neck. he has slurred speech. on protusion of his tongue, the tip deviated to the left. what is the single most appropriate option?",a. accessory nerve,b. facial nerve,c. glossopharyngeal nerve,d. hypoglossal nerve,e. vagus nerve,,,,,,"key: the key is d. hypoglossal nerve. [testing function of the nerve is performed by asked the subject to stick their tongue straight out. if there is a loss of innervation to one side, the tongue will curve toward the affected side, due to unopposed action of the opposite genioglossus muscle. if this is the result of alower motor neuron lesion, the tongue will be curved toward the damaged side, combined with the presence of fasciculations or atrophy. however, if the deficit is caused by an upper motor neuron lesion, the tongue will be curved away from the side of the cortical damage, without the presence of fasciculations or atrophy].",,
"955. a 24yo woman known to be suffering from panic disorder presents to the hospital with tingling and numbness in her fingers. abg: ph=7.52, pco2=2.2kpa, po2=11kpa, bicarb=20. what is the most likely condition?",a. acute metabolic alkalosis,b. acute resp alkalosis,c. compensated resp alkalosis,d. compensated metabolic acidosis,e. acute metabolic acidosis,,,,,,"key: the key is b. acute respiratory alkalosis. [in panic attack there occurs hyperventilation which causes washout of co2 and leads to acute respiratory alkalosis resulting in raised ph >7.45 (here 7.52),  low pco2 (here 2.2 kpa) with compensatory decrease in hco3 (here 20meq/l)].",,
"956. a 65yo man on dexamethasone underwent surgery. during and after the surgery, his blood glucose was around 17-19mmol/l. what will you give the pt?",a. insulin,b. oral hypoglycemic,c. remove dexamethasone,d. iv saline,e. ix dextrose,,,,,,"key: the key is d. iv saline. [it is estimated that adults secrete 75-150mg of cortisol in response to major surgery and 50mg a day for minor surgery, and secretion parallels duration and extent of surgery patients undergoing a surgical procedure or responding to stress, trauma, or an acute illness will exhibit an increase in adrenal cortisol production up to 6-fold normal levels. however, in patients on chronic exogenous steroid therapy, atrophy of the hypothalamicpituitary-adrenal (hpa) axis may occur through feedback inhibition, leading to an inability to respond to stress. it has historically been believed that patients receiving long-term corticosteroids require supplemental, perioperative doses, and that failure to provide such coverage in secondary adrenal insufficiency may lead to an adrenal crisis characterized by hypotension and cardiovascular collapse. *** so who are telling remove dexamethason are wrong!!!*** patients receiving “physiologic replacement” doses (<10 mg/ day) do not need additional steroids perioperatively beyond their standard regimen. patients receiving doses exceeding the normal expected stress response for their surgery (>150 mg/ day of hydrocortisone equivalent for moderate/major surgery, or >50 mg/ day of hydrocortisone equivalent for minor surgery) also do not need additional coverage beyond their current therapy, because acute immunosuppressive doses are more than sufficient to maintain cardiovascular stability during the operation. regular daily dose of more than 10 mg prednisolone within the last three months: i)	minor surgery:		25 mg hydrocortisone at induction ii)	moderate surgery		usual pre-operative steroids (hysterectomy)		+ 25 mg hydrocortisone at induction + 100 mg hydrocortisone/day  iii)	major surgery		usual pre-operative steroids major trauma, prolonged 	+ 25 mg hydrocortisone at induction surgery 			+ 100 mg hydrocortisone/day for 2 – 3 days  surgical patients commonly develop hyperglycemia related to the hypermetabolic stress response, which increases glucose production and causes insulin resistance. although hyperglycemia is associated with worse outcomes, the treatment of hyperglycemia with insulin infusions has not provided consistent benefits. despite early results, which suggested decreased mortality and other advantages of “tight” glucose control, later investigations found no benefit or increased mortality when hyperglycemia was aggressively treated with insulin. because of these conflicting data, the optimal glucose concentration to improve outcomes in critically ill patients is unknown. there is agreement, however, that hypoglycemia is an undesirable complication of intensive insulin therapy and should be avoided. so, “for perioperative hyperglycemia no need of insulin” just iv saline!!!].",,
957. a 61yo man who had stroke 2y ago is on aspirin. he has ra but suffers from pain and can’t tolerate it. he is taking senna for constipation. what is the best med to relieve his pain?,a. dmards,b. ibuprofen,c. co-codamol,d. paracetamol,,,,,,,key: the key is b. ibuprofen. [dmards are not painkillers but prevents disease progression in long term. paracetamol is not enough to control severe pain. co-codamol will cause constipation. patient is already taking laxative! so co-codamol is not the option. excluding other ibuprofen seems to be the best option].,,
958. a young child was brought by his mother to the opd complaining that he raised the vol of the tv and didn’t respond to her when she called him. exam: tympanic membrane was dull greyish and no shadow of handle of malleus. what is the most probable dx?,a. chronic om,b. acute om,c. secretory om,d. otitis externa,e. cholesteatoma,,,,,,key: the key is c. secretory om.,,
959. a 48yo woman always socially withdrawn has stopped going out of the house. she is afraid to socialize because she fears that people will criticize her. what is the most probable dx?,a. agoraphobia,b. ptsd,c. social anxiety,d. ocd,e. gad,,,,,,"key: the key is c. social anxiety. [social anxiety disorder is a type of complex phobia. this type of phobia has a disruptive or disabling impact on a person's life. it can severely affect a person's confidence and self-esteem, interfere with relationships and impair performance at work or school].",,
960. post gastric ulcer got perforated leading to bleeding involving the gastro-duodenal artery. where would fluid accumulate in the cavity?,a. left paracolic gutter,b. pelvic cavity,c. first part of duodenum,d. under the diaphragm,e. retroperitoneal,,,,,,key: the key is d. under the diaphragm.,,
"961. a 4yo boy presents with recurrent episodes of self limiting spontaneous bleeding. coag test: pt normal, bleeding time normal, aptt prolonged, factor viii decreased. his father and uncle suffer from a similar illness. what is the most likely dx?",a. hemophilia a,b. hemophilia b,c. von willebrand’s disease,d. itp,e. ttp,,,,,,key: the key is a. hemophilia a. [prolonged aptt and decreased factor viii points towards the diagnosis of hemophilia a].,,
962. a 53yo lady presents with hot flash and night sweats. her lmp was last year. she had mi recently. what is the most appropriate management for her?,a. raloxifene,b. estrogen,c. cocp,d. evening primrose,e. clonidine,,,,,,key: the key is c. cocp. this is wrong key! correct key is e. clonidine. [cocp is absolutely contraindicated in recent mi patients].,,
963. a 73yo man who was a smoker has quit smoking for the past 3yrs. he now presents with hoarseness of voice and cough since past 3wks. xr: mass is visible in the mediastinum. what is the best inv to confirm the dx?,a. bronchoscopy,b. thoracoscopy,c. us,d. ct thorax,e. ln biopsy,,,,,,key: the key is e. ln biopsy.,,
"964. a 52yo man known dm presents to ed with sudden onset of pain in the left loin and hematuria. inv: 8mm stone in left lower ureter. nifedipine with steroids was prescribed as initial tx with supportive therapy. he returned complaining of worsening pain, vomiting with passing of 2 stones. renal function tests indicate impending arf. how will you manage this pt?",a. continue same tx,b. start alpha blocker,c. eswl,d. percutaneous nephrolithotomy,e. percutaneous nephrostomy,f. open surgery,,,,,"key: the key is e. percutaneous nephrostomy. [percutaneous nephrostomy, or nephropyelostomy, is an interventional procedure that is used mainly in the decompression of the renal collecting system. percutaneous nephrostomy catheter placement has been the primary option for the temporary drainage of an obstructed collecting system. here impending arf indicates obstructive uropathy].",,
965. a lady who is alcohol dependent wants to quit but wants someone to encourage her. what would you do?,a. medication,b. refer to social services,c. refer to psychology,d. cbt,,,,,,,key: the key is b. refer to social services.,,
"966. a young girl presented to obgyn assessment unit with lower abdominal pain and per vaginal bleeding after a hx of hysterosalpingograph as a part of her infertility tx. observation: bp=90/50mmhg, pulse=120bpm, exam revealed rigid abdomen. what is the most appropriate next inv?",a. ct,b. xr erect and supine,c. us abdomen,d. coag profile,e. cxr,,,,,,key: the key is c. us abdomen. [likely cause of bleeding and shock is ruptured fallopian tube for which appropriate next investigation is us abdomen].,,
967. a 21yo woman who is on cocp had to take azithromycin. what should be advised for her contraception?,a. using 7d condoms after antibiotics and avoid pill free break,b. using 14d condoms after antibiotics and avoid pill free break,c. using 7d condoms after antibiotics,d. no extra precaution,e. using 14d condoms after antibiotics,,,,,,key: the key is d. no extra precaution. [before it was thought that antibiotics like azithromycin inhibits the enzyme and reduce the efficacy of cocp. but later it was established that practically no significant changes occur and so no need of any extra precaution].,,
968. a 60yo woman presented with radial fx and had a colle’s fx and supracondylar fx in the past. what inv is req to detect her possibility of having the same prb later?,a. dexa scan,b. mri,c. nuclear bone scan,d. ct,e. bone biopsy,,,,,,key: the key is a. dexa scan. [the likely cause of these multiple fracture is osteoporosis (post menopausal women) for which we should do dexa scan to establish the diagnosis].,,
"969. a 43yo woman presents with low mood, loss of libido, sleep disturbance, tiredness, palpitation, chest discomfort, irritability and recurrent worries. what is the most likely dx?",a. seasonal affective disorder,b. mod depression,c. dysthymia,d. gad,e. bipolar disorder,,,,,,key: the key is b. moderate depression. [mild depression: i)low mood ii) anhedonia iii) guilt iv) hopelessness v) worthlessness vi) inability to concentrate. tx cbt moderate depression: features of mild + vii) poor sleep viii) poor appetite ix) poor libido x) easy fatiguability. tx antidepressants severe depression: features of moderate + xi) suicidal intensions. tx ect].,,
970. which of the following is true for tamoxifen?,a. increased incidence of endometrial carcinoma,b. increased risk of breast ca,c. increased risk of osteoporosis,d. increased risk of ovarian ca,,,,,,,key: the key is a. increased incidence of endometrial carcinoma.,,
971. a 45yo male complains of tremors in hands. exam: tremors are absent at rest but present when arms are held outstretched and persist on movement. what is the most probable dx?,a. parkinsonism,b. benign essential tremor,c. cerebellar disease,d. liver failure,e. stroke,,,,,,key: the key is b. benign essential tremor. [tremors absent at rest and present on outstretched hand and persist on movement are benign essential tremor].,,
972. pregnant lady had her antenatal screening for hiv and hep b. what more antenatal inf should she be screened for?,a. rubella and syphilis,b. toxoplasma and rubella,c. syphilis toxoplasma,d. hep c & e,e. hep a & c,,,,,,key: the key is a. rubella and syphilis.,,
"973. a young man has been found in the park, drunk and brought to the ed by ambulance. he recently lost his job and got divorced. he thinks nurses are plotting against him. what is the most likely dx?",a. schizoid personality,b. borderline personality,c. schizophrenia,d. psychotic depression,e. paranoid,,,,,,key: the key is e. paranoid personality disorder. [patients disease (paranoid personality disorder) is responsible for his  divorce and loss of job. suspiciousness to wife is reason for divorce].,,
"974. an elderly man who used to work in the shipyard industry presented with cough and sob few weeks to months. he was given salbutamol nebulization and antibiotics and admitted to the ward. he died 3d later. ct: patchy infiltrates, pleural thickening and pleural effusion. why is this a coroner’s case?",a. pt got wrong dx or management,b. pt died soon after admission,c. death could be due to occupational illness,,,,,,,,key: the key is c. death could be due to occupational illness.,,
"975. a 26yo lady came with abdominal pain, vaginal discharge and low grade fever. what is the most likely dx?",a. hellp syndrome,b. acute pid,c. ectopic pregnancy,d. appendicitis,,,,,,,key: the key is b. acute pid.,,
"976. a new screening test has been devised to detect early stages of prostate ca. however, the test tends to dx a lot of ppl with no cancer, although they do have cancer as dx by other standard tests. what is this flaw called?",a. false +ve,b. true +ve,c. false –ve,d. true –ve,e. poor specificity,,,,,,key: the key is c. false negative.,,
977. a 26yo political refugee has sought asylum in the uk and complains of poor conc. he keeps getting thoughts of his family whom he saw killed in a political coup. he is unable to sleep and feels hopeless about his survival. because of this he is afraid to go out. what is the most likely dx?,a. acute stress disorder,b. ptsd,c. social phobia,d. ocd,e. gad,,,,,,"key: the key is b. ptsd. [keep getting thoughts of his family disaster, insomnia, to avoid similar circumstances he is avoiding going out these are suggestive of ptsd].",,
978. a 2yo boy presented with gradual swelling of feet and poor feeding. he has gained weight and has dark urine. what is the single most appropriate inv?,a. serum albumin (2nd),b. 24h urinary protein (1st),c. serum calcium,d. bue,e. serum glucose,,,,,,key: the key is b. 24 hr urinary protein. [a case of nephritic syndrome. so the single most appropriate investigation from the given options is 24 hour urinary protein].,,
"979. a 26yo lady presents with high fever, lower abdominal pain and purulent vaginal discharge. she looks very unwell. what is the most appropriate management?",a. tetracycline 250mg qd,b. doxycycline 100mg bd and metronidazole 400mg bd,c. iv ceftriaxone 2g with doxycycline 100mg,d. iv ceftriaxone 2g with doxycycline 500mg,e. ofloxacin 400mg bd and metronidazole 400mg bd,,,,,,key: the key is c. iv ceftriaxone 2g with doxycycline 100mg. [the disease is severe needing inpatient management with iv ceftriaxone 2g + iv doxycycline 100 mg].,,
