question,a,b,c,d,e,f,g,h,i,j,key,chat,key_letter,gpt_letter,Unnamed: 15,0
774. a 33yo female presents with sudden severe colicky abdominal pain in her rif. a mobile mass is felt on examination. what is the most likely dx?,a. pid,b. appendicitis,c. ovarian torsion,d. constipation,,,,,,,key: the key is c. ovarian torsion.,"The most likely diagnosis for a 33-year-old female presenting with sudden severe colicky abdominal pain in her right iliac fossa and a mobile mass on examination is ovarian torsion. Ovarian torsion is a medical emergency that occurs when an ovary twists around its own blood vessels, which can cause severe pain and compromise blood flow to the ovary. Pelvic inflammatory disease (PID) is a possible diagnosis, but it typically presents with bilateral lower abdominal pain and tenderness, as well as discharge, fever, and cervical motion tenderness. Appendicitis can also cause right lower quadrant abdominal pain, but it often presents with fever and progressive, localized pain. Constipation can cause abdominal discomfort and bloating, but it is unlikely to cause a palpable mass. Therefore, the most likely diagnosis based on the presented symptoms is ovarian torsion. Immediate emergency medical intervention is necessary to prevent permanent damage to the affected ovary.",c,c,TRUE,
"775. a middle aged male is feeling unwell after a recent mi. the recent ecg shows prolonged qrs complex and tented t wave. na+=136mmol/l, k+=6.2mmol/l, urea=5mmol/l. what is the most appropriate management?",a. calcium gluconate,b. calcium resonium,c. calcium with vit d supplement,d. vit d,e. calcium,,,,,,key: a. calcium gluconate. [ecg change of prolonged qrs complex and tented t wave are suggestive of hyperkalaemia which is further supported by k+ level of 6.2 mmol/l. so to protect the heart from arrhythmia calcium gluconate should be given].,"A middle-aged male who recently suffered an MI and is presenting with prolonged QRS complex and tented T wave on ECG along with elevated K+ levels of 6.2 mmol/L indicative of hyperkalemia should be given calcium gluconate. Calcium gluconate is the most appropriate management in this scenario as it protects the heart from arrhythmia which is a potential risk in hyperkalemia. The other answer options are incorrect because calcium resonium is used for hyperkalemia with normal or elevated sodium levels, calcium with vit D supplement is used for calcium-deficient states, and vitamin D is primarily used to increase the absorption of calcium from the small intestine. Hence, calcium gluconate is the most appropriate treatment in this scenario.",a,a,TRUE,
776. a 68yo man with dm and htn was noted to have cholesterol level of 3.4mmol/l. he was also noted to have microalbuminuria. what is the best drug to add to his regimen?,a. acei,b. statin,c. amlodipine,d. biguanides,,,,,,,key: the key is a. acei. [acei is renoprotective and prevents progress in albuminuria].,"The correct answer for the best drug to add to the regimen of a 68-year-old man with diabetes mellitus and hypertension with a cholesterol level of 3.4mmol/L and microalbuminuria is a) ACE inhibitor (ACEi). ACEi is renoprotective and prevents the progression of albuminuria, which is an early sign of kidney damage. ACEi also reduces the risk of cardiovascular events in patients with diabetes and hypertension. Statin can help reduce cholesterol levels, but it is not specifically indicated for the management of microalbuminuria or hypertension. Amlodipine is a calcium channel blocker that is used to lower blood pressure, but it does not have the renal protective effects of ACEi. Biguanides such as metformin are used to manage diabetes, but they do not have any specific actions on blood pressure or albuminuria. Therefore, adding ACEi is the most appropriate choice in this case due to its renal-protective and cardiovascular benefits.",a,a,TRUE,
777. a child playing with toys suddenly develops breathlessness and stridor. which inv will lead to the dx?,a. laryngoscopy,b. cxr,c. peak flow meter,d. abg,,,,,,,key: the key is a. laryngoscopy. [breathlessness and stridor in a child playing with toy is most likely due to aspiration of foreign body (toy or part of toy) for which laryngoscopy should be done].,"The correct answer to the question is a. Laryngoscopy. When a child playing with toys suddenly experiences breathlessness and stridor, it is most likely due to the aspiration of a foreign body such as a toy or part of a toy. Therefore, an immediate and accurate diagnosis is crucial to avoid further complications. Laryngoscopy is the most suitable investigation in this case as it can provide a direct visualization of the larynx and help with the removal of the foreign body. CXR, peak flow meter, and ABG are not the appropriate investigations for this condition as they do not provide direct visualization. Therefore, the correct and most appropriate investigation would be laryngoscopy.",a,a,TRUE,
778. anxious parents ask you for resus technique for their 3yo. what do you tell them?,a. 5 compression: 1 breath,b. 5 compression: 2 breaths,c. 15 compression: 2 breaths with nose pinched,d. 15 compression: 2 breaths without nose pinched,e. 30 breaths: 2 compressions,,,,,,key: the key is c. 15 compression:2 breaths with nose pinched.,"When anxious parents ask for resus technique for their 3-year-old, the correct answer would be option C, which involves 15 compressions followed by 2 breaths with nose pinched. This technique is recommended by the American Heart Association for infants and young children. Option A (5 compressions to 1 breath) is not recommended for children under the age of 8, while option B (5 compressions to 2 breaths) is outdated and no longer recommended. Option D (15 compressions to 2 breaths without nose pinched) is also not recommended as it can lead to air escaping through the nose and not into the lungs. Option E appears to have a typo, as it does not make sense to perform 30 breaths instead of compressions. It is essential to use the correct resuscitation technique when dealing with pediatric emergencies, as improper techniques can lead to inadequate resuscitation and potential harm to the child.",c,c,TRUE,
779. a 56yo man complains of increased vol of sputum with specks of blood and chest pain. he has a hx of dvt. exam: clubbing. what is the cause of blood in his sputum?,a. pulmonary thrombosis,b. bronchial carcinoma,c. bronchiectasis,d. pulmonary tb,,,,,,,key: the key is c. bronhiectasis. [increased volume of blood streaked sputum and clubbing points towards bronchiectasis].,"The most likely cause of the increased volume of sputum with specks of blood and clubbing in a 56-year-old man with a history of deep vein thrombosis is bronchiectasis. Clubbing is a common feature of bronchiectasis and the presence of blood in the sputum suggest bronchial damage or inflammation. Pulmonary thrombosis and pulmonary tuberculosis may also present with cough, but are less likely in this case due to the absence of other relevant symptoms. Bronchial carcinoma is a possibility; however, the absence of other suggestive symptoms and the presence of clubbing point towards bronchiectasis as the more likely diagnosis. Therefore, the key to this question is c. bronchiectasis.",c,c,TRUE,
780. a 32yo female has a hx of sob and fever. pre-broncho-dilation test was done and it was 2/3.5 and post-bronchodilator was 3/3.7. the pt was dx of eczema and tb. what is the possible dx?,a. copd,b. asthma,c. pneumonia,d. bronchiectasis,,,,,,,"key: the key is b. asthma. this is probably wrong key. correct key is d. bronchiectasis. [history of fever and prior tb are more suggestive of bronchiectasis and in bronchiectasis spirometry is variable (either restrictive, obstructive or normal)].","Based on the given information, the most likely diagnosis for the 32-year-old female with a history of shortness of breath and fever is D, bronchiectasis. The history of fever and prior TB infection are more suggestive of bronchiectasis. In bronchiectasis, spirometry can be variable and show either a restrictive, obstructive, or normal pattern. Additionally, the pre-bronchodilation test showed a lower value (2/3.5) compared to the post-bronchodilation test (3/3.7), which is not typically seen in COPD or pneumonia. Asthma can also present with shortness of breath, but usually, there is a history of wheezing, which is absent in this patient. Therefore, considering all the information given, bronchiectasis is the most likely diagnosis.",b,b,TRUE,
781. a 2yo male pt was brought by his mother with a swelling in the right side of his neck extending from the angle of the mouth to the middle 1/3 of the sternocleidomastoid muscle. the swelling was on the anterolateral side of the sternocleidomastoid and was brilliantly transilluminant. what is the likely dx?,a. lymphangioma,b. branchial cyst,c. thyroglossal cyst,d. ranula,e. thyroid swelling,,,,,,key: the key is b. branchial cyst. it is a wrong key. correct key is a. lymphangioma. [both lymphangioma and brancheal cyst are lateral neck mass. 90% of lymphangioma occur in children less than 2 yrs. brancheal cyst usually does not transilluminate whereas lymphangioma usually transilluminate brilliantly].,"Based on the description provided, the most likely diagnosis is a lymphangioma (answer option a). Lymphangiomas are lateral neck masses that commonly occur in children under two years old and are brilliantly transilluminant. Branchial cysts, on the other hand, typically do not transilluminate and are often located posterior to the sternocleidomastoid muscle. Thyroglossal cysts are midline neck masses that move with swallowing and may be accompanied by pain. Ranulas are typically cystic masses located in the floor of the mouth. Thyroid swellings would be located in the anterior neck and may be associated with thyroid dysfunction. Therefore, given the specific location, transillumination and age of the patient, lymphangioma is the most likely diagnosis.",a,a,TRUE,
782. a 50yo newly dx with htn complains of urinary freq and dysuria. the urinalysis reveals presence of white cells and protein. choose the single most appropriate tx?,a. imipramine,b. adjust diuretics,c. vaginal estrogen,d. trimethoprim,,,,,,,key: the key is d. trimethoprim. [symptoms (urinary frequency and dysuria) along with white cells and protein in urine suggest uti. treatment is with triethoprim].,"In a 50-year-old patient newly diagnosed with hypertension, complaints of urinary frequency and dysuria with urinalysis revealing the presence of white cells and protein suggest a urinary tract infection (UTI). Treatment with trimethoprim, option D, is most appropriate for this patient. Imipramine, option A, is an antidepressant and not indicated for the treatment of UTIs. Adjusting diuretics, option B, may be necessary for the management of hypertension but is not effective for the treatment of UTIs. Vaginal estrogen, option C, is used in postmenopausal women experiencing vaginal atrophy, but is not indicated for treatment of UTIs. Therefore, trimethoprim is the optimal choice for treating the UTI in this patient.",d,d,TRUE,
783. a boy injured his ear during a rugby match. he reported it being painful. exam: red and tender pinna. tympanic membrane was normal. what would be the next appropriate step?,a. topical gentamicin,b. oral flucloxacillin,c. iv flucloxacillin,d. refer to ent specialist,e. no further intervention needed.,,,,,,key: the key is e. no further intervention needed. [as tympanic membrane is normal so this transient inflammation of pinna from injury during rugby match is self limiting which needs no further intervention].,"The correct answer to this question is e, no further intervention is needed. This is because the exam findings suggest that the injury only affected the pinna and the tympanic membrane, which is a thin layer of tissue that separates the outer and middle ear, appeared normal. The redness and tenderness of the pinna are likely due to transient inflammation caused by the injury, which is self-limiting and does not require any medical treatment. Therefore, prescribing topical gentamicin or oral/IV flucloxacillin, which are antibiotics used to treat bacterial infections, is unnecessary and potentially harmful in this case. Referring the boy to an ENT (ear, nose, and throat) specialist would also be unnecessary since there is no indication of any serious ear complications. In summary, the most appropriate step in this case is to reassure the boy that his symptoms will likely improve with time and recommend pain relief measures as needed.",e,e,TRUE,
784. a 2yo girl prv well presents with a hx of vomiting and diarrhea for 4hrs. what is the most suitable indication for iv fluid administration?,a. capillary refill time >4s,b. hr >90bpm,c. increased rr,d. stool >10x/d,e. weight of child = 10kgs,,,,,,key: the key is a. capillary refill time >4s. [capillary refill time >4s is sign of severe dehydration indicating need for iv fluid administration. features of severe dehydration: i) abnormally sleepy or lethargic ii) sunken eyes iii) drinking poorly or not at all iv) reduced skin turgr > 2 seconds v) dry tongue and mucous membrane vi) absent tears vii) oliguria viii) hypotension ix) tachycardia x) prolonged capillary refill time xi) depressed anterior frontanelle].,"The correct answer is (a) capillary refill time >4s. This is because capillary refill time is a key indicator of severe dehydration, which can be life-threatening if not treated promptly. Other features of severe dehydration are also listed, including reduced skin turgor, dry mucous membranes, oliguria, hypotension, tachycardia, and depressed anterior fontanelle. Choices (b), (c), (d), and (e) are not the most suitable indications for IV fluid administration because they focus on other symptoms that may also be present in dehydration but are not as critical as prolonged capillary refill time. Therefore, the correct answer is (a) capillary refill time >4s, which indicates severe dehydration and the need for urgent IV fluid administration to prevent further complications.",a,a,TRUE,
785. a 44yo woman with breast cancer had an extensive removal and ln clearance. she needs an adjunctive tx. her mother had cancer when she was 65. which of the following factors will be against the tx?,a. fam hx,b. tumor grading,c. ln involvement,d. her age,,,,,,,key: the key is d. her age. probably wrong key. correct key should be b. tumour grading. [what ever the age oestrogen receptor positive patient will take tamoxifen as adjuvant therapy. but tumour grading in some instance may influence the need of adjuvant therapy. though the given key is d it is probably a wrong key and correct key should be b. tumour grading].,"The correct answer for this question is b. Tumour grading. Tumour grading can influence the need for adjuvant therapy in some instances. Although estrogen receptor is positive and the patient will most likely take tamoxifen as adjuvant therapy regardless of age, tumour grading can help determine if additional therapy is necessary. The given key, d. her age, is most likely incorrect as age alone does not determine the need for adjuvant therapy. Factors like family history (a), lymph node involvement (c), and tumour size (not given as an option) can also impact the decision for adjuvant therapy. Therefore, the correct key is b. tumour grading.",b,b,TRUE,
786. a 45yo man presents with hearing loss and tinnitus in the right ear. exam: weber test lateralizes to the left. audiometry: ac > bc in both ears. what is the next best inv?,a. ct,b. mri brain,c. angiogram,d. otoscopy,,,,,,,key: the key is b. mri brain. [ac>bc indicate rinne positive; i.e. the deafness is not conductive. again hearing loss is on right side. weber lateralized to left. we know weber lateralized to same side if conductive deafness and to opposite if there is sensoryneural deafness. so it is now obvious that the deafness of right ear is sensoryneural deafness for which mri brain is the next best investigation].,"The correct answer is b, MRI brain. The results of the Weber test show that the hearing loss is on the right side, and the finding that AC is greater than BC in both ears indicates that the deafness is not conductive. Since the patient has sensoryneural deafness, the next best investigation would be an MRI of the brain to assess if there are any structural causes or abnormalities affecting the auditory pathways. The other choices, CT and angiogram, are not appropriate in this case as they do not provide enough detail to evaluate the auditory pathways, and otoscopy would not provide any information about the cause of the deafness.",b,b,TRUE,
"787. a 74yo lady called an ambulance for an acute chest pain. she has a hx of dm and htn, and is a heavy smoker. paramedics mentioned that she was overweight and recently immobile because of a hip pain. she collapsed and died in the ambulance. what is the most likely cause of death?",a. pulmonary embolism,b. mi,c. stroke,d. cardiac arrhythmia,e. cardiac failure,,,,,,key: the key is a. pulmonary embolism. this is wrong key! correct key is mi.,"The correct answer to this question is b. MI or myocardial infarction. The patient's medical history of DM, HTN, and heavy smoking puts her at increased risk for cardiovascular disease. Her recent immobility due to hip pain and being overweight also adds to this risk. Acute chest pain is a common symptom of MI, and the fact that the patient collapsed and died in the ambulance suggests that she suffered a sudden cardiac event. Pulmonary embolism, stroke, cardiac arrhythmia, and cardiac failure are all potential causes of sudden death, but in this case, the patient's risk factors and presenting symptoms point towards MI as the most likely cause.",b,b,TRUE,
788. a 77yo woman suffered diarrhea 4d ago. what would be her blood gas result?,"a. ph =7.2, paco2 =8","b. ph =7.4, paco2 =1.5","c. ph =7.4, paco2 =2.6","d. ph =7.4, paco2 =2.8",,,,,,,"key: the key is b. ph = 7.4, paco2 = 1.5 [diarrhoea causes metabolic acidosis and in response there occurs respiratory compensation [hyperventilation] leading to respiratory alkalosis and low paco2 (due to co2 washout)].","The correct answer for the blood gas result of a 77-year-old woman who suffered from diarrhea 4 days ago would be b) ph = 7.4, paco2 = 1.5. Diarrhea causes metabolic acidosis, which triggers respiratory compensation in the form of hyperventilation leading to respiratory alkalosis and low paco2 due to the elimination of CO2. Option a) with a pH of 7.2 suggests severe metabolic acidosis, which is unlikely to occur as a result of diarrhea. Options c) and d) both have normal paco2 levels, which would not be expected in respiratory compensation for metabolic acidosis.",b,b,TRUE,
"789. a man presents with abdominal pain, vomiting, pulse=120bpm, bp=90/60mmhg and a rigid abdomen. his chest is clear. what is the immediate management?",a. call radiology,b. admit to medical ward,c. urgent admission to itu (intensive therapy unit),,,,,,,,key: the key is c. urgent admission to itu.,"The correct answer to this question is c. urgent admission to itu. This is because the patient is showing signs of potential circulatory collapse, therefore, requires immediate, advanced monitoring and treatment in an intensive therapy unit. Admitting the patient to a medical ward or calling radiology would be inappropriate in this situation as it fails to address the severity of the symptoms and the patient's immediate needs. Choosing option c implies an understanding of the patient's critical state and the urgency of treating potential life-threatening conditions. Therefore, it is essential to prioritize the patient's immediate needs to prevent further complications.",c,c,TRUE,
790. a 60yo man presents with weight loss and hgb=6. hx reveals that he has abdominal pain and diarrhea for the past 6m. what is the most appropriate inv?,a. barium enema,b. colonoscopy,c. sigmoidoscopy,,,,,,,,key: the key is b. colonoscopy. [likely diagnosis is ibd. so colonoscopy should be done].,"The correct answer to this question is b. colonoscopy. This is because the patient's presentation of weight loss, low hemoglobin levels, and symptoms of abdominal pain and diarrhea for 6 months are indicative of Inflammatory Bowel Disease (IBD). Therefore, a colonoscopy is necessary to visualize the colon and rectum to make an accurate diagnosis and assess the extent and severity of the condition. Barium enema is not appropriate because it only provides a static image of the colon and may miss subtle changes and lesions. Sigmoidoscopy is not recommended as it only visualizes the lower part of the colon and may miss significant lesions in the upper parts. Therefore, the most appropriate investigation for this patient is a colonoscopy to diagnose IBD and determine the extent and severity of the disease.",b,b,TRUE,
791. a 35yo primigravida post c-section complains of inability to void. she denies dysuria but complains of fullness. she was treated with an epidural for analgesia. what is the single most appropriate inv?,a. msu,b. us abdomen,c. us kub,d. serum calcium,,,,,,,key: the key is b. us abdomen. [c. us kub. is also correct! this is a case of pour (post operative urinary retention). we should do us to know the urinary volume (urine volume in bladder). if <400ml we shall observe. when volume is >600ml we should do catheterization].,"The single most appropriate investigation for a 35-year-old primigravida who is post c-section and complains of inability to void, but denies dysuria and complains of fullness, is option C - US KUB. This is because the symptoms suggest post-operative urinary retention, which is a common complication after c-section and can be assessed by measuring the urine volume in the bladder through US KUB. Option A, MSU, is incorrect because there are no indications of a UTI. Option B, US abdomen, is partially correct as it may identify if there are any post-operative complications but does not specifically address the patient's urinary symptoms. Lastly, option D, serum calcium, is completely irrelevant to the patient's symptoms and should not be considered. If the urine volume in the bladder is found to be <400ml, observation may be recommended, but if the volume is >600ml, catheterization should be performed.",c,c,TRUE,
792. a female pt with htn and serum k+=2.7mmol/l. which hormone would you be looking for?,a. aldosterone,b. cortisol,c. thyrotoxin,d. renin,e. testosterone,,,,,,key: the key is a. aldosterone. [hpt and hypokalemia is seen in hyperaldosteronism. so we should look for aldosterone].,"In a female patient with hypertension and serum potassium levels of 2.7 mmol/L, the hormone that should be examined is aldosterone. This is because hypokalemia and hypertension are commonly associated with hyperaldosteronism. Renin is another hormone that is involved in regulating blood pressure, but it is not directly associated with hypokalemia. Cortisol and testosterone are hormones that are not related to hypertension or potassium levels. Thyroxine or T4 is also not associated with hypokalemia and hypertension. Therefore, the most likely hormone to be considered in this case is aldosterone.",a,a,TRUE,
"793. a 25yo male with a hx of frequent binge drinking presents 4h after having had a take away meal following a nights heavy drinking. he complains of nausea and has vomited on several occasions. after the last vomiting episode, he vomited approximately a cupful of blood. on admission, he smells of alcohol, pulse=100bpm, bp=140/80mmhg. he has some tenderness in the epigastrium. what is your dx?",a. gastric carcinoma,b. mallory-weiss tear,c. esophageal carcinoma,d. esophageal varices,e. peptic ulceration,,,,,,key: the key is mallory-weiss tear. [repeated retching and vomiting is a recognized cause of mallory-weiss tear which is supported here by vomiting a cupful of blood].,"Based on the patient's history and symptoms, the correct diagnosis is likely to be Mallory-Weiss tear. The fact that the patient has a history of frequent binge drinking and smells of alcohol suggests that he may have damaged his stomach lining by repeated retching and vomiting, which can cause a tear in the junction between the esophagus and stomach known as Mallory-Weiss tear. The fact that the patient vomited a cupful of blood after the last episode of vomiting supports this diagnosis. Other possible diagnoses such as gastric carcinoma, esophageal carcinoma, esophageal varices, and peptic ulceration are less likely given the patient's age and history. However, further investigations such as endoscopy may be required to confirm the diagnosis and rule out other potential causes.",b,b,TRUE,
"794. a young boy presented with bilateral periorbital edema, ankle swelling and increase in body weight. what is the most likely dx?",a. chronic heart failure,b. nephrotic syndrome,c. renal failure,d. acute heart failure,e. glomerulonephritis,,,,,,key: the key is b. nephrotic syndrome.,"The correct answer is b. nephrotic syndrome. This condition is characterized by the excessive loss of protein through urine due to damage or inflammation of the glomeruli in the kidneys. This results in fluid accumulation in the body, causing symptoms like bilateral periorbital edema, ankle swelling, and weight gain. The other options are less likely because chronic heart failure typically presents with shortness of breath and fatigue, acute heart failure presents with sudden onset of symptoms, renal failure presents with decreased urine output and high levels of waste materials in the blood, and glomerulonephritis presents with blood in the urine and high blood pressure. Therefore, based on the presented symptoms and context, the most likely diagnosis is nephrotic syndrome.",b,b,TRUE,
"795. a 53yo man with prv hx of copd presents with breathlessness and purulent sputum. o2 stat=85% on air. abg: pao2=7.6, paco2=7. what is the appropriate management for his condition?",a. 24% oxygen,b. mechanical ventilation,c. 100% oxygen,d. nebulized salbutamol,,,,,,,key: the key is a. 24% oxygen. [patient has hypoxemia and hypercapnea (type2 respiratory failure). hence he should be put on 24% oxygen. 100% oxygen will abolish hypoxic drive and worsen hypercapnea].,"The appropriate management for the 53-year-old man with a history of COPD who is presenting with breathlessness and purulent sputum, and has an oxygen saturation level of 85% on air, is option A, 24% oxygen. The ABG results show hypoxemia and hypercapnea, which is indicative of type 2 respiratory failure. It is recommended to avoid administering 100% oxygen as it can worsen the hypercapnea by abolishing the hypoxic drive. Mechanical ventilation would be necessary if the patient were in respiratory distress or failure, but it is not indicated in this case, as the patient is not described as such. Nebulized salbutamol may be helpful in relieving bronchoconstriction, but it is not the primary intervention for managing hypoxemia and hypercapnea in this patient. Therefore, option A, 24% oxygen, is the most appropriate management for his condition.",a,a,TRUE,
796. a 34yo man was involved in a rta and whilst in the ambulance his gcs deteriorated and rr increased from 30-48. what is the most appropriate management for this pt?,a. iv fluid,b. needle thoracocentesis,c. 100% oxygen,d. portable xr,,,,,,,key: the key is 100% oxygen.,"The most appropriate management for a 34-year-old man who experienced a decrease in Glasgow Coma Scale and an increase in respiratory rate after being involved in a road traffic accident would be to administer 100% oxygen. This is because the increase in respiratory rate indicates that the patient is likely having difficulty breathing and may not be getting enough oxygen. Administering 100% oxygen can help increase the amount of oxygen in the blood, improving the patient's symptoms and potentially preventing further complications. IV fluids and needle thoracocentesis would not be appropriate in this case as there is no indication of hypovolemia or a pneumothorax, and a portable X-ray would not be the immediate priority.",c,c,TRUE,
797. a 44yo lady who has pckd is concerned because her 38yo brother has just died of an intracranial insult. she knows he was not hypertensive. what was the most likely cause of her brother’s death?,a. subdural hematoma,b. subarachnoid hemorrhage,c. cerebral infarct,d. epidural hematoma,,,,,,,key: the key is b. subarachnoid hemorrhage. [cerebral aneurisms are recognized association of pckd which may lead to subarachnoid hemorrhage].,"The most likely cause of the brother's death is subarachnoid hemorrhage (option B). This is because cerebral aneurysms are a recognized association of polycystic kidney disease (PCKD), which can lead to subarachnoid hemorrhages. Subdural hematoma (option A), cerebral infarct (option C), and epidural hematoma (option D) are not commonly associated with PCKD and therefore less likely to have been the cause of the brother's death. Therefore, the most probable cause of the brother's death, given his age and lack of hypertension, is a subarachnoid hemorrhage.",b,b,TRUE,
798. a 36yo male dx with glioblastoma since last 5m has cerebral edema and is on dexamethasone. he has diarrhea and vomiting for the last 3days. he has been suffering from repeated falls today. what could be the possible cause for his falls?,a. adrenal insufficiency,b. dehydration,c. dexamethasone therapy,d. raised icp,,,,,,,key: the key is a. adrenal insufficiency. [prolonged dexamethason use suppresses adrenal axis and intercurrent illness can lead to adrenal insufficiency (addisonian crisis) in such cases].,"The correct answer to this question is A, adrenal insufficiency. Prolonged use of dexamethasone can suppress the adrenal axis and intercurrent illness can lead to adrenal insufficiency, or Addisonian crisis, in such cases. In this patient, he has been on dexamethasone for his cerebral edema, and is now experiencing symptoms of diarrhea and vomiting for the last 3 days, which can lead to dehydration and electrolyte imbalances. Adrenal insufficiency is also a concern due to the added stress of his illness, which could cause an Addisonian crisis. The repeated falls could be a result of the weakness and fatigue associated with adrenal insufficiency. Dehydration and dexamethasone therapy may also contribute to his falls, but adrenal insufficiency is the most likely cause in this case.",a,a,TRUE,
799. a 2yo child is brought by his mother. the mother had hearing impairment in her early childhood and is now concerned about the child. what inv would you do?,a. audiometry,b. distraction testing,c. scratch test,d. tuning fork,,,,,,,"key: the key is a. audiometry. [conditioned response audiometry 2-4 years, pure tone audio gram for greater than 5 years, less than 6 months otoacoustic emission or brainstem evoked response, distraction test for 6-18 months, ohcs ent].","In this scenario, the correct answer would be a. audiometry. This is because the child in question is only 2 years old, which falls within the age range for a conditioned response audiometry test. Additionally, the mother's history of hearing impairment makes it a reasonable concern for the child to undergo a hearing evaluation. Distraction testing (option b) is typically used for children between 6-18 months of age and is not a suitable option for a 2-year-old child. Scratch testing (option c) and tuning fork testing (option d) are not appropriate tests for evaluating hearing in children. Therefore, the best course of action in this scenario would be to perform an audiometry test.",a,a,TRUE,
"800. an 8yo child presents with recurrent abdominal pain, occasional headaches but maintains a good appetite. exam: normal. cbc, bue, etc are normal. what would you do for her next?",a. us abdomen,b. ct head,c. reassure,d. analgesics,,,,,,,key: the key is c. reassure. [recurrent abdominal pain and headaches with no abnormal finding on examination and investigation points to abdominal migraine. management is reassurance and prescribe analgesics].,"The correct answer is c, reassure. This child's symptoms are suggestive of abdominal migraine which is a type of migraine that affects the abdomen instead of the head. Therefore, conducting further imaging studies like an abdominal ultrasound or head CT is unlikely to be helpful and would only increase healthcare costs and radiation exposure. Instead, reassurance should be provided to both the child and their caregiver that there is likely no serious underlying medical condition causing the abdominal pain and that analgesics like acetaminophen or ibuprofen can be prescribed as needed for pain management. The other answer choices are not appropriate as they are not relevant to the presentation and would not provide any additional information or treatment options for the patient's symptoms.",c,c,TRUE,
"801. a 78yo gentleman suddenly collapsed. his hr=120bpm, bp=70/40mmhg. exam: pulsatile mass in abdomen. what is the most appropriate dx?",a. aortic aneurysm,b. mesenteric cyst,c. umbilical hernia,,,,,,,,key: the key is a. aortic aneurism. [there is features of shock with pulse 120bpm and bp 70/40mmhg and sudden collapse of the patient with pulsatile mass in abdomen makes the likely diagnosis of ruptured aortic aneurism].,"The most appropriate diagnosis for the patient described is a. aortic aneurysm. The features of shock, including the patient’s increased pulse rate of 120bpm, lowered blood pressure of 70/40mmhg, and sudden collapse, along with the presence of a pulsatile mass in the abdomen, suggest a ruptured aortic aneurysm. This is a serious condition that requires urgent medical attention. The other options, b. mesenteric cyst and c. umbilical hernia, do not typically present with the same symptoms and physical exam findings as an aortic aneurysm. Therefore, they are less likely to be the correct diagnosis in this case.",a,a,TRUE,
802. a woman prv in good health presents with sudden onset of severe occipital headache and vomiting. her only physical sign on exam is a stiff neck. choose the most likely dx.,a. subarachnoid hemorrhage,b. subdural hematoma,c. cerebellar hemorrhage,d. migraine,e. cerebral embolus,,,,,,key: the key is a. subarachnoid hemorrhage. [sudden onset severe occipital headache and vomiting with stiffness makes the likely diagnosis to be subarachnoid hemorrhage].,"The most likely diagnosis in this case is a subarachnoid hemorrhage. The sudden onset of occipital headache, vomiting, and stiffness in the neck are classic symptoms of this condition. Subdural hematoma and cerebellar hemorrhage typically present with neurological deficits and are less likely given the lack of findings on physical exam. Migraine may cause severe headaches but typically does not cause a stiff neck. Cerebral embolus may cause symptoms similar to those seen in a subarachnoid hemorrhage, but the absence of any focal neurological deficits makes it a less likely diagnosis. Overall, given the patient's presentation, a subarachnoid hemorrhage is the most likely diagnosis.",a,a,TRUE,
803. a 34yo housemaid presents with headaches in the back of her head for several days and pain on flexing her neck. what is the most likely cause?,a. subdural hemorrhage,b. cervical spondylosis,c. subarachnoid hemorrhage,d. meningitis,e. cluster headache,,,,,,key: the key is b. cervical spondylosis. [headache in the back of head and pain on flexing neck is early feature of cervical spondylosis which gradually progress to later symptoms like radiculopathies due to root compression in arms and hands].,"The most likely cause of the 34-year-old housemaid's symptoms of headaches in the back of her head and pain on flexing her neck is cervical spondylosis. This condition, which involves degeneration of the cervical spine, may initially present with these early symptoms, and may progress to more advanced symptoms such as radiculopathies due to root compression in the arms and hands. Subdural hemorrhage, subarachnoid hemorrhage, and meningitis are less likely causes of these symptoms, as they tend to present with other, more severe symptoms such as confusion, altered consciousness, and fever, respectively. Cluster headache is also an unlikely cause, as it typically involves unilateral, severe pain accompanied by tearing and nasal congestion.",b,b,TRUE,
"804. a 40yo man complains of thirst and lethargy. his bp=140/90mmhg, corrected ca2+=3.7mmol/l. what is the most appropriate management at this stage?",a. iv fluids,b. prednisolone,c. iv hydrocortisone,d. calcium prep,,,,,,,key: the key is a. iv fluids. [hypercalcemia is treated by iv fluids].,"The correct answer is A, iv fluids. This is because the patient is presenting with symptoms of hypercalcemia, which is an excess of calcium in the blood. IV fluids can help to decrease calcium levels by increasing urine output and flushing out the excess calcium. Prednisolone and IV hydrocortisone are not appropriate treatments for hypercalcemia as they are steroids that are used to treat other conditions such as inflammation or autoimmune diseases. Calcium preparation is not appropriate because the patient already has high levels of calcium in their blood and giving them more calcium would exacerbate the problem. Therefore, the most appropriate management for this patient at this stage would be IV fluids.",a,a,TRUE,
