,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
772,773. a 30yo lady was playing volleyball when her hand got injured with the ball. the right hand is not swollen and there is tenderness under the root of the thumb. xr is normal. what is the most appropriate next management? ,a. arm sling for 1 wk,b. raise hand for 2d,c. repeat xr,d. Full arm cast,,,,,,,ans. the key is c. repeat xr. [likely diagnosis is scaphoid fracture where x-ray may not show the fracture right away. in such case put her hand in a below elbow cast and repeat x-ray in a week or two to see if the fracture become visible. usually it becomes visible as a healing fracture line]. 774. a 33yo female presents with sudden severe colicky abdominal pain in her rif. a mobile mass is ,,,,
773,774. a 33yo female presents with sudden severe colicky abdominal pain in her rif. a mobile mass is felt on examination. what is the most likely dx? ,a. pid,b. appendicitis,c. ovarian torsion,d. Constipation,,,,,,,ans. the key is c. ovarian torsion. 775. a middle aged male is feeling unwell after a recent mi. the recent ecg shows prolonged qrs ,,,,
774,"775. a middle aged male is feeling unwell after a recent mi. the recent ecg shows prolonged qrs complex and tented t wave. na+=136mmol/l, k+=6.2mmol/l, urea=5mmol/l. what is the most appropriate management? ",a. calcium gluconate,b. calcium resonium,c. calcium with vit d supplement,d. Vit D,e. calcium,,,,,,ans. a. calcium gluconate. [ecg change of prolonged qrs complex and tented t wave are suggestive of hyperkalaemia which is further supported by k+ level of 6.2 mmol/l. so to protect the heart from arrhythmia calcium gluconate should be given]. 776. a 68yo man with dm and htn was noted to have cholesterol level of 3.4mmol/l. he was also ,,,,
775,776. a 68yo man with dm and htn was noted to have cholesterol level of 3.4mmol/l. he was also noted to have microalbuminuria. what is the best drug to add to his regimen? ,a. acei,b. statin,c. amlodipine,d. Biguanides,,,,,,,ans. the key is a. acei. [acei is renoprotective and prevents progress in albuminuria]. 777. a child playing with toys suddenly develops breathlessness and stridor. which inv will lead to ,,,,
776,777. a child playing with toys suddenly develops breathlessness and stridor. which inv will lead to the dx? ,a. laryngoscopy,b. cxr,c. peak flow meter,d. ABG,,,,,,,ans. the key is a. laryngoscopy. [breathlessness and stridor in a child playing with toy is most likely due to aspiration of foreign body (toy or part of toy) for which laryngoscopy should be done]. 778. anxious parents ask you for resus technique for their 3yo. what do you tell them? ,,,,
777,778. anxious parents ask you for resus technique for their 3yo. what do you tell them? ,a. 5 compression: 1 breath,b. 5 compression: 2 breaths,c. 15 compression: 2 breaths with nose pinched,d. 15 compression: 2 breaths without nose pinched,e. 30 breaths: 2 compressions,,,,,,ans. the key is c. 15 compression:2 breaths with nose pinched. 779. a 56yo man complains of increased vol of sputum with specks of blood and chest pain. he has a ,,,,
778,779. a 56yo man complains of increased vol of sputum with specks of blood and chest pain. he has a hx of dvt. exam: clubbing. what is the cause of blood in his sputum? ,a. pulmonary thrombosis,b. bronchial carcinoma,c. bronchiectasis,d. Pulmonary TB,,,,,,,ans. the key is c. bronhiectasis. [increased volume of blood streaked sputum and clubbing points towards bronchiectasis]. 780. a 32yo female has a hx of sob and fever. pre-broncho-dilation test was done and it was 2/3.5 ,,,,
779,780. a 32yo female has a hx of sob and fever. pre-broncho-dilation test was done and it was 2/3.5 and post-bronchodilator was 3/3.7. the pt was dx of eczema and tb. what is the possible dx? ,a. copd,b. asthma,c. pneumonia,d. Bronchiectasis,,,,,,,"ans. the key is b. asthma. this is probably wrong key. correct key is d. bronchiectasis. [history of fever and prior tb are more suggestive of bronchiectasis and in bronchiectasis spirometry is variable (either restrictive, obstructive or normal)]. 781. a 2yo male pt was brought by his mother with a swelling in the right side of his neck extending ",,,,
780,781. a 2yo male pt was brought by his mother with a swelling in the right side of his neck extending from the angle of the mouth to the middle 1/3 of the sternocleidomastoid muscle. the swelling was on the anterolateral side of the sternocleidomastoid and was brilliantly transilluminant. what is the likely dx? ,a. lymphangioma,b. branchial cyst,c. thyroglossal cyst,d. Ranula,e. thyroid swelling,,,,,,ans. the key is b. branchial cyst. it is a wrong key. correct key is a. lymphangioma. [both lymphangioma and brancheal cyst are lateral neck mass. 90% of lymphangioma occur in children less than 2 yrs. brancheal cyst usually does not transilluminate whereas lymphangioma usually transilluminate brilliantly]. 782. a 50yo newly dx with htn complains of urinary freq and dysuria. the urinalysis reveals presence ,,,,
781,782. a 50yo newly dx with htn complains of urinary freq and dysuria. the urinalysis reveals presence of white cells and protein. choose the single most appropriate tx? ,a. imipramine,b. adjust diuretics,c. vaginal estrogen,d. Trimethoprim,,,,,,,ans. the key is d. trimethoprim. [symptoms (urinary frequency and dysuria) along with white cells and protein in urine suggest uti. treatment is with triethoprim]. 783. a boy injured his ear during a rugby match. he reported it being painful. exam: red and tender ,,,,
782,783. a boy injured his ear during a rugby match. he reported it being painful. exam: red and tender pinna. tympanic membrane was normal. what would be the next appropriate step? ,a. topical gentamicin,b. oral flucloxacillin,c. iv flucloxacillin,d. Refer to ENT specialist,e. no further intervention needed.,,,,,,ans. the key is e. no further intervention needed. [as tympanic membrane is normal so this transient inflammation of pinna from injury during rugby match is self limiting which needs no further intervention]. 784. a 2yo girl prv well presents with a hx of vomiting and diarrhea for 4hrs. what is the most ,,,,
783,784. a 2yo girl prv well presents with a hx of vomiting and diarrhea for 4hrs. what is the most suitable indication for iv fluid administration? ,a. capillary refill time >4s,b. hr >90bpm,c. increased rr,d. Stool >10x/d,e. weight of child = 10kgs,,,,,,ans. the key is a. capillary refill time >4s. [capillary refill time >4s is sign of severe dehydration indicating need for iv fluid administration. features of severe dehydration: i) abnormally sleepy or lethargic ii) sunken eyes iii) drinking poorly or not at all iv) reduced skin turgr > 2 seconds v) dry tongue and mucous membrane vi) absent tears vii) oliguria viii) hypotension ix) tachycardia x) prolonged capillary refill time xi) depressed anterior frontanelle]. 785. a 44yo woman with breast cancer had an extensive removal and ln clearance. she needs an ,,,,
784,785. a 44yo woman with breast cancer had an extensive removal and ln clearance. she needs an adjunctive tx. her mother had cancer when she was 65. which of the following factors will be against the tx? ,a. fam hx,b. tumor grading,c. ln involvement,d. Her age,,,,,,,ans. the key is d. her age. probably wrong key. correct key should be b. tumour grading. [what ever the age oestrogen receptor positive patient will take tamoxifen as adjuvant therapy. but tumour grading in some instance may influence the need of adjuvant therapy. though the given key is d it is probably a wrong key and correct key should be b. tumour grading]. 786. a 45yo man presents with hearing loss and tinnitus in the right ear. exam: weber test lateralizes ,,,,
785,786. a 45yo man presents with hearing loss and tinnitus in the right ear. exam: weber test lateralizes to the left. audiometry: ac > bc in both ears. what is the next best inv? ,a. ct,b. mri brain,c. angiogram,d. Otoscopy,,,,,,,"ans. the key is b. mri brain. [ac>bc indicate rinne positive; i.e. the deafness is not conductive. again hearing loss is on right side. weber lateralized to left. we know weber lateralized to same side if conductive deafness and to opposite if there is sensoryneural deafness. so it is now obvious that the deafness of right ear is sensoryneural deafness for which mri brain is the next best investigation]. 787. a 74yo lady called an ambulance for an acute chest pain. she has a hx of dm and htn, and is a ",,,,
786,"787. a 74yo lady called an ambulance for an acute chest pain. she has a hx of dm and htn, and is a heavy smoker. paramedics mentioned that she was overweight and recently immobile because of a hip pain. she collapsed and died in the ambulance. what is the most likely cause of death? ",a. pulmonary embolism,b. mi,c. stroke,d. Cardiac arrhythmia,e. cardiac failure,,,,,,ans. the key is a. pulmonary embolism. this is wrong key! correct key is mi. 788. a 77yo woman suffered diarrhea 4d ago. what would be her blood gas result? ,,,,
787,788. a 77yo woman suffered diarrhea 4d ago. what would be her blood gas result? ,"a. ph =7.2, paco2 =8","b. ph =7.4, paco2 =1.5","c. ph =7.4, paco2 =2.6","d. pH =7.4, PaCO2 =2.8",,,,,,,"ans. the key is b. ph = 7.4, paco2 = 1.5 [diarrhoea causes metabolic acidosis and in response there occurs respiratory compensation [hyperventilation] leading to respiratory alkalosis and low paco2 (due to co2 washout)]. 789. a man presents with abdominal pain, vomiting, pulse=120bpm, bp=90/60mmhg and a rigid ",,,,
788,"789. a man presents with abdominal pain, vomiting, pulse=120bpm, bp=90/60mmhg and a rigid abdomen. his chest is clear. what is the immediate management? ",a. call radiology,b. admit to medical ward,c. urgent admission to itu (intensive therapy unit),,,,,,,,ans. the key is c. urgent admission to itu. 790. a 60yo man presents with weight loss and hgb=6. hx reveals that he has abdominal pain and ,,,,
789,790. a 60yo man presents with weight loss and hgb=6. hx reveals that he has abdominal pain and diarrhea for the past 6m. what is the most appropriate inv? ,a. barium enema,b. colonoscopy,c. sigmoidoscopy,,,,,,,,ans. the key is b. colonoscopy. [likely diagnosis is ibd. so colonoscopy should be done]. 791. a 35yo primigravida post c-section complains of inability to void. she denies dysuria but ,,,,
790,791. a 35yo primigravida post c-section complains of inability to void. she denies dysuria but complains of fullness. she was treated with an epidural for analgesia. what is the single most appropriate inv? ,a. msu,b. us abdomen,c. us kub,d. Serum calcium,,,,,,,ans. the key is b. us abdomen. [c. us kub. is also correct! this is a case of pour (post operative urinary retention). we should do us to know the urinary volume (urine volume in bladder). if <400ml we shall observe. when volume is >600ml we should do catheterization]. 792. a female pt with htn and serum k+=2.7mmol/l. which hormone would you be looking for? ,,,,
791,792. a female pt with htn and serum k+=2.7mmol/l. which hormone would you be looking for? ,a. aldosterone,b. cortisol,c. thyrotoxin,d. Renin,e. testosterone,,,,,,ans. the key is a. aldosterone. [hpt and hypokalemia is seen in hyperaldosteronism. so we should look for aldosterone]. 793. a 25yo male with a hx of frequent binge drinking presents 4h after having had a take away meal ,,,,
792,"793. a 25yo male with a hx of frequent binge drinking presents 4h after having had a take away meal following a nights heavy drinking. he complains of nausea and has vomited on several occasions. after the last vomiting episode, he vomited approximately a cupful of blood. on admission, he smells of alcohol, pulse=100bpm, bp=140/80mmhg. he has some tenderness in the epigastrium. what is your dx? ",a. gastric carcinoma,b. mallory-weiss tear,c. esophageal carcinoma,d. Esophageal varices,e. peptic ulceration,,,,,,"ans. the key is mallory-weiss tear. [repeated retching and vomiting is a recognized cause of mallory-weiss tear which is supported here by vomiting a cupful of blood]. 794. a young boy presented with bilateral periorbital edema, ankle swelling and increase in body ",,,,
793,"794. a young boy presented with bilateral periorbital edema, ankle swelling and increase in body weight. what is the most likely dx? ",a. chronic heart failure,b. nephrotic syndrome,c. renal failure,d. Acute heart failure,e. glomerulonephritis,,,,,,ans. the key is b. nephrotic syndrome. 795. a 53yo man with prv hx of copd presents with breathlessness and purulent sputum. o2 stat=85% ,,,,
794,"795. a 53yo man with prv hx of copd presents with breathlessness and purulent sputum. o2 stat=85% on air. abg: pao2=7.6, paco2=7. what is the appropriate management for his condition? ",a. 24% oxygen,b. mechanical ventilation,c. 100% oxygen,d. Nebulized salbutamol,,,,,,,ans. the key is a. 24% oxygen. [patient has hypoxemia and hypercapnea (type2 respiratory failure). hence he should be put on 24% oxygen. 100% oxygen will abolish hypoxic drive and worsen hypercapnea]. 796. a 34yo man was involved in a rta and whilst in the ambulance his gcs deteriorated and rr ,,,,
795,796. a 34yo man was involved in a rta and whilst in the ambulance his gcs deteriorated and rr increased from 30-48. what is the most appropriate management for this pt? ,a. iv fluid,b. needle thoracocentesis,c. 100% oxygen,d. Portable XR,,,,,,,ans. the key is 100% oxygen. 797. a 44yo lady who has pckd is concerned because her 38yo brother has just died of an ,,,,
796,797. a 44yo lady who has pckd is concerned because her 38yo brother has just died of an intracranial insult. she knows he was not hypertensive. what was the most likely cause of her brother’s death? ,a. subdural hematoma,b. subarachnoid hemorrhage,c. cerebral infarct,d. Epidural hematoma,,,,,,,ans. the key is b. subarachnoid hemorrhage. [cerebral aneurisms are recognized association of pckd which may lead to subarachnoid hemorrhage]. 798. a 36yo male dx with glioblastoma since last 5m has cerebral edema and is on dexamethasone. ,,,,
797,798. a 36yo male dx with glioblastoma since last 5m has cerebral edema and is on dexamethasone. he has diarrhea and vomiting for the last 3days. he has been suffering from repeated falls today. what could be the possible cause for his falls? ,a. adrenal insufficiency,b. dehydration,c. dexamethasone therapy,d. Raised ICP,,,,,,,ans. the key is a. adrenal insufficiency. [prolonged dexamethason use suppresses adrenal axis and intercurrent illness can lead to adrenal insufficiency (addisonian crisis) in such cases]. 799. a 2yo child is brought by his mother. the mother had hearing impairment in her early childhood ,,,,
798,799. a 2yo child is brought by his mother. the mother had hearing impairment in her early childhood and is now concerned about the child. what inv would you do? ,a. audiometry,b. distraction testing,c. scratch test,d. Tuning fork,,,,,,,"ans. the key is a. audiometry. [conditioned response audiometry 2-4 years, pure tone audio gram for greater than 5 years, less than 6 months otoacoustic emission or brainstem evoked response, distraction test for 6-18 months, ohcs ent]. 800. an 8yo child presents with recurrent abdominal pain, occasional headaches but maintains a ",,,,
799,"800. an 8yo child presents with recurrent abdominal pain, occasional headaches but maintains a good appetite. exam: normal. cbc, bue, etc are normal. what would you do for her next? ",a. us abdomen,b. ct head,c. reassure,d. Analgesics,,,,,,,"ans. the key is c. reassure. [recurrent abdominal pain and headaches with no abnormal finding on examination and investigation points to abdominal migraine. management is reassurance and prescribe analgesics]. 801. a 78yo gentleman suddenly collapsed. his hr=120bpm, bp=70/40mmhg. exam: pulsatile mass ",,,,
800,"801. a 78yo gentleman suddenly collapsed. his hr=120bpm, bp=70/40mmhg. exam: pulsatile mass in abdomen. what is the most appropriate dx? ",a. aortic aneurysm,b. mesenteric cyst,c. umbilical hernia,,,,,,,,ans. the key is a. aortic aneurism. [there is features of shock with pulse 120bpm and bp 70/40mmhg and sudden collapse of the patient with pulsatile mass in abdomen makes the likely diagnosis of ruptured aortic aneurism]. 802. a woman prv in good health presents with sudden onset of severe occipital headache and ,,,,
801,802. a woman prv in good health presents with sudden onset of severe occipital headache and vomiting. her only physical sign on exam is a stiff neck. choose the most likely dx. ,a. subarachnoid hemorrhage,b. subdural hematoma,c. cerebellar hemorrhage,d. Migraine,e. cerebral embolus,,,,,,ans. the key is a. subarachnoid hemorrhage. [sudden onset severe occipital headache and vomiting with stiffness makes the likely diagnosis to be subarachnoid hemorrhage]. 803. a 34yo housemaid presents with headaches in the back of her head for several days and pain on ,,,,
802,803. a 34yo housemaid presents with headaches in the back of her head for several days and pain on flexing her neck. what is the most likely cause? ,a. subdural hemorrhage,b. cervical spondylosis,c. subarachnoid hemorrhage,d. Meningitis,e. cluster headache,,,,,,"ans. the key is b. cervical spondylosis. [headache in the back of head and pain on flexing neck is early feature of cervical spondylosis which gradually progress to later symptoms like radiculopathies due to root compression in arms and hands]. 804. a 40yo man complains of thirst and lethargy. his bp=140/90mmhg, corrected ca2+=3.7mmol/l. ",,,,
803,"804. a 40yo man complains of thirst and lethargy. his bp=140/90mmhg, corrected ca2+=3.7mmol/l. what is the most appropriate management at this stage? ",a. iv fluids,b. prednisolone,c. iv hydrocortisone,d. Calcium prep,,,,,,,ans. the key is a. iv fluids. [hypercalcemia is treated by iv fluids]. 805. a 75yo man on digoxin develops weakness in the right upper and lower limbs which resolves ,,,,
804,805. a 75yo man on digoxin develops weakness in the right upper and lower limbs which resolves within a few hours. what is the most definitive inv for this condition? ,a. carotid doppler,b. angiography,c. ct head,d. Digoxin level,,,,,,,"ans. the key is b. angiography. probably wrong key! correct key is c. ct head. [patient on digoxin means he is being yreated for atrial fibrillation with heart failure and the cause of tia is cardiac in origine! so carotid dopplar or carotid angiography is not the answer. again for tia investigation of choice is mri (if not available ct) nice guideline. so for this question definitove investigation is ct scan.]. 806. a 35yo man presents with balance problems, headache, snhl and loss of coreneal reflex on the ",,,,
805,"806. a 35yo man presents with balance problems, headache, snhl and loss of coreneal reflex on the left side. what is the most definitive inv? ",a. ct scan of internal auditory meatus,b. nuclear imagine of the brain,c. mri of internal auditory meatus,d. MRI brain,,,,,,,"ans. the key is d. mri brain. wrong key! “most definitive” is mri internal auditory meatus. [probable diagnosis is left sided acaustic neuroma. for this most definitive investigation is mri internal auditory meatus]. 807. a 52yo man has a painful, red, photophobic right eye with slightly blurred vision and watering ",,,,
806,"807. a 52yo man has a painful, red, photophobic right eye with slightly blurred vision and watering for 3days. he has had no such episodes in the past. on slit lamp examination there are cells and flare in the ant chamber and pupil is sluggish to react. what is the single most appropriate clinical dx? ",a. acute close-angle glaucoma,b. acute conjunctivitis,c. acute dacrocystitis,d. Acute iritis,e. corneal foreign body,,,,,,ans. the key is d. acute iritis. [in iritis there is flares and cells in anterior chamber. in iritis pupil may be irregular but in angle closure glaucoma pupil is slightly dilated and oval in shape. in iritis there is no halo around light but in glaucoma there is halo around light]. 808. a 55yo lady with swelling on the abdomen below the umbilicus on the right side. what is the ,,,,
807,808. a 55yo lady with swelling on the abdomen below the umbilicus on the right side. what is the single most appropriate lymph node? ,a. external iliac ln,b. pre-aortic ln,c. aortic ln,d. Inguinal LN,e. iliac ln,f. submental ln,g. submandibular ln,,,,ans. the key is d. inguinal ln. 809. a 66yo male presents with painful swallowing. what is the most likely dx? ,h. deep cervical ln,,,
808,809. a 66yo male presents with painful swallowing. what is the most likely dx? ,a. nesseria meningitides,b. cryptococcus neoformans,c. candida albicans,d. Isospora belli,e. mycobacterium avium,,,,,,"ans. the key is c. candida albicans. [oesophageal candidiasis]. 810. a 45yo lady complains of expressable galactorrhea, decreased libido and amenorrhea, weight ",,,,
809,"810. a 45yo lady complains of expressable galactorrhea, decreased libido and amenorrhea, weight gain and easy fatigue. her serum prolactin levels are 1100um/l. what is the likely cause of hyperprolactinemia? ",a. hypothyroidism,b. stress,c. pregnancy,d. Prolactin secreting pituitary tumor,e. pcos,,,,,,"ans. the key is d. wrong key. correct key should be a. hypothyroidism. [ it is likely to be hypothyroidism because prolactin level in hypothyroidism may be 30-200ng/ml which means 630-4200 miu/l. though weight gain can occur but fatigue is not a feature of prolactinoma unless it is a macroadenoma causing suppression of other pituitary hormone! given prolactin level of 1100 iu/l is definitely from a microadenoma (in macroadenoma prolactin level is > 10,000 mu/l) which does not cause fatigue. so the case most likely seems to be hypothyroidism]. 811. a 42yo female had sudden severe headache and vomiting. she took paracetamol and then ",,,,
810,811. a 42yo female had sudden severe headache and vomiting. she took paracetamol and then collapsed. what is the most likely dx? ,a. sah,b. viral encephalitis,c. meningitis,d. Anaphylaxis,,,,,,,"ans. the key is a. sah. [sudden headache, vomiting, collapse are suggestive of sah]. 812. parents of a 3m baby are worried about cot death. what advice would you give? ",,,,
811,812. parents of a 3m baby are worried about cot death. what advice would you give? ,a. lay on the back with feet towards head end,b. lay on the back with feet towards feet end,c. lay on side,d. Lay on stomach,,,,,,,ans. the key is b. lay on the back with feet towards feet end. 813. a child born at 36wks developed difficulty in breathing with intercoastal recession and nasal ,,,,
812,813. a child born at 36wks developed difficulty in breathing with intercoastal recession and nasal flaring. his temp is normal but his mother had prom 48h ago. what is the most likely inv that will lead to tx? ,a. blood culture,b. cxr,c. stool culture,d. Sputum culture,,,,,,,ans. b. cxr. this is wrong key! correct key is a. blood culture. [in neonates investigations of pneumonia is for sepsis as pneumonia at this age is always secondary to sepsis or a part of sepsis. probable diagnosis is neonatal pneumonia as there is respiratory signs and history of prom. in extremes of age pneumonia or sepsis may be with normal temperature or even there may be hypothermia. here pneumonia is a part of sepsis and investigation is not cxr but blood culture!]. 814. a 68yo man has had increasing dysphagia for solid food for 3m and has lost 5kgs in weight. what ,,,,
813,814. a 68yo man has had increasing dysphagia for solid food for 3m and has lost 5kgs in weight. what single inv is most likely to lead to a def dx? ,a. barium swallow,b. cxr,c. ct chest,d. Endoscopy and biopsy,e. video-fluoroscopy,,,,,,ans. the key is d. endoscopy and biopsy. [likely cause is malignant stricture for which endoscopic biopsy is the definitive investigation]. 815. a 24yo male was trying to move his wardrobe but it fell on his thigh. it was there for a very long ,,,,
814,815. a 24yo male was trying to move his wardrobe but it fell on his thigh. it was there for a very long time before someone was able to remove it. when he was seen in ed he had casts in his urine but no rbcs. other inv showed hypocalcemia and high serum creatinine. what is the cause for his renal failure? ,a. acetylcholine,b. myoglobin,c. myotroponin,d. Acetyl acetate,,,,,,,ans. the key is b. myoglobin. [the likely diagnosis is rhabdomyolysis where renal failure occurs due to myoglobin (myoglobins are released after breakdown of skeletal muscles)]. 816. anatomical structure to be pierced during surgery midline port during gallstone removal. ,,,,
815,816. anatomical structure to be pierced during surgery midline port during gallstone removal. ,a. external iliac muscle,b. cricoid cartilage,c. linea alba,d. Rectus sheath muscle,e. duramater,f. 1st tracheal cartilage,g. conjoined tendon,,,,ans. the key is c. linea alba. 817. a 48yo man has continuous ant chest pain which is worse on inspiration and has temp of 37.5c ,h. intercostal muscles,,,
816,817. a 48yo man has continuous ant chest pain which is worse on inspiration and has temp of 37.5c since 4wks after a mi. his esr=45mm/h. what is the single most likely explanation for the abnormal inv? ,a. acute pericarditis,b. cardiac tamponade,c. atrial thrombus,d. Left ventricular aneurysm,e. dressler syndrome,,,,,,"ans. the key is e. dressler syndrome. [dressler syndrome usually occurring two to five weeks after the initial event but it can be delayed for as long as three months.  it is characterised by pleuritic chest pain, low-grade fever and pericarditis]. 818.  an 8yo child swallowed 12 tablets of paracetamol 4h ago. serum paracetamol levels when ",,,,
817,818.  an 8yo child swallowed 12 tablets of paracetamol 4h ago. serum paracetamol levels when tested were at critical level. what would you do next? ,a. activated charcoal,b. iv n-acetylcysteine,c. gastric lavage,d. Observation only,,,,,,,"ans. the key is b. iv n-acetylcystine. [as 4 hour paracetamol level is at critical level start iv n-acetyltine at once]. manaement of paracetamol poisoning: gi decontamination is recommended in those presenting <4h after od. activated charcoal 1g/kg (max 50g) is the treatment of choice, reducing serum levels more than gastric lavage and limiting liver injury. • glucose, u&e, lft, inr, abg, fbc, hco3 –; blood paracetamol level at 4h post-ingestion. • if <10–12h since overdose, not vomiting, and plasma paracetamol is above the line on the graph, start n-acetylcysteine. • if >8–24h and suspicion of large overdose (>7.5g) err on the side of caution and start n-acetylcysteine, stopping it if level below treatment line and inr/alt normal. ohcm, 9th edition, page 856]. 819. a pt dx with dvt is taking warfarin. what is his cut off inr limit? ",,,,
818,819. a pt dx with dvt is taking warfarin. what is his cut off inr limit? ,a. <1,b. 1-2,c. 2-3,d. 3-4,,,,,,,ans. the key is c. 2-3. [this range is appropriate for the prophylaxis or treatment of venous thromboembolism and reduction of the risk of systemic embolism for people with atrial fibrillation and valvular heart disease]. 820. inserting a drain in the mid-axillary line. what is the single most appropriate anatomical ,,,,
819,820. inserting a drain in the mid-axillary line. what is the single most appropriate anatomical structure? ,a. external iliac muscle,b. linea alba,c. rectus sheath muscle,d. Conjoined tendon,e. intercostal muscles,,,,,,"ans. the key is e. intercostal muscles. 821. a 29yo man presents with hx of cough, weight loss and night sweats. exam: pansystolic murmur. ",,,,
820,"821. a 29yo man presents with hx of cough, weight loss and night sweats. exam: pansystolic murmur. what is the most appropriate dx of underlying cause? ",a. malaria,b. hsp,c. hiv,d. Dengue fever,,,,,,,ans. the key is c. hiv. [though not mentioned iv drug abusers may have tricuspid regurgitation causing pansystolic murmur and hiv also very common in this group]. 822. a 15yo boy presents with recurrent breathlessness and wheeze especially after exercise. what is ,,,,
821,822. a 15yo boy presents with recurrent breathlessness and wheeze especially after exercise. what is the most diagnostic inv? ,a. cxr,b. lung function test,c. pefr,d. CT scan,,,,,,,ans. the key is b. lung function test. [assessment of severity of airflow obstruction can diagnose asthma and copd]. 823. a 34yo man was walking along the country side when an insect bit him. after which he started ,,,,
822,823. a 34yo man was walking along the country side when an insect bit him. after which he started to complain of an annular rash spreading upwards. ,a. penicillin po,b. doxycycline po,c. flucloxacillin po,d. Gentamicin PO,e. ciprofloxacin po,f. antihistamine po,g. antihistamine iv,k. adrenaline iv,l. atropine iv,m. reassurance,"ans. the key is b. doxycycline po. [described rash is erythema migrans which is characteristic skin lesion seen in lyme disease. lyme disease is treated with doxycycline]. 824. a 60yo man was brought in by his wife complaining of ataxia, urinary incontinence and erectile ",h. corticosteroid iv,i. corticosteroid im,j. adrenaline im,
823,"824. a 60yo man was brought in by his wife complaining of ataxia, urinary incontinence and erectile dysfunction. he also complains of rigidity and slowing of movement with a pill rolling tremor of the hands. what is the likely dx? ",a. parkinson’s disease,b. idiopathic parkinson’s disease,c. shy-drager syndrome,d. Huntington’s disease,,,,,,,"ans. the key is c. shy-drager syndrome. [shy-drager syndrome is characterized by parkinsonism (rigidity, slowing of movement with hand tremors) plus a more pronounced failure of the autonomic nervous system (urinary incontinence and erectile dysfunction) and there may also cerebellar sign like ataxia be present]. [please note the discrepancy of this question (may be a bad recall) that classic pill rolling movement is not a feature of multiple system atrophy (shy-drager dsyndrome)]. 825. a 67yo man being managed for a malignancy develops neutropenic fever. he has been ",,,,
824,"825. a 67yo man being managed for a malignancy develops neutropenic fever. he has been commenced on ticarcillin, tazobactam and gentamicin. he has also recently commenced on meropenem but on the 3rd day his temp still remains >39c. 2 blood tests and urine cultures show no organism. inv: hgb=104g/dl, wbc=<0.5, plt=15. what will you do next? ",a. continue iv antibiotics and add oral antifungals,b. continue antibiotics and add iv antifungals,c. stop antibiotics,d. Continue only present antibiotics,,,,,,,ans. the key is b. continue antibiotics and add iv antifungals. [if judicial antibiotic fail to control fever next step is to add antifungal agents]. 826. a young girl who is known to have t1dm presented with drowsiness and deep breathing. her ,,,,
825,826. a young girl who is known to have t1dm presented with drowsiness and deep breathing. her sugar level=20. her bp=120/80mmhg and her mucous membranes are dry. what would be the next appropriate step? ,a. serum urea,b. blood culture,c. ct,d. HbA1c,e. abg,,,,,,"ans. the key is e abg. [likely diagnosis is dka where abg is done to demonstrate acidosis]. 827. removal of a glioma, which single most appropriate anatomical structure will be pierced? ",,,,
826,"827. removal of a glioma, which single most appropriate anatomical structure will be pierced? ",a. cricoid cartilage,b. rectus sheath muscle,c. duramater,d. Conjoined tendon,e. intercostal muscles,,,,,,ans. the key is c. duramater. 828. a child is not breathing and intubation failed. at what anatomical site should the incision be ,,,,
827,828. a child is not breathing and intubation failed. at what anatomical site should the incision be made? ,a. external iliac muscle,b. cricoid cartilage,c. linea alba,d. Rectus sheath muscle,e. duramater,f. 1st tracheal cartilage,g. conjoined tendon,,,,"ans. the key is b. cricoid cartilage. [incision for tracheostomy is done which goes down from cricoids cartilage]. 829. a 10yo child who presented with fx of the radius which was treated with a plaster cast, ",h. intercostal muscles,,,
828,"829. a 10yo child who presented with fx of the radius which was treated with a plaster cast, complains of pain. exam: limb is swollen but warm and well perfused, pulses are present. what should you do next? ",a. send for repeat xr,b. remove cast,c. replace cast with more padding,d. Give analgesic,,,,,,,ans. key is d. give analgesic. 830. a 32yo man has been to thailand and returned with cervical lymphadenopathy and fever. what ,,,,
829,830. a 32yo man has been to thailand and returned with cervical lymphadenopathy and fever. what is he most likely suffering from? ,a. hiv,b. ebv,c. typhoid,d. Measles,,,,,,,ans. the key is b. ebv. [cervical lymphadenopathy mentioned in question which occurs in ebv infection. in ars (acute retroviral syndrome) or primary hiv infection there is generalized lymphadenopathy]. 831. a 6yo child presents with edema and mild proteinuria. no hematuria. what is the most likely dx? ,,,,
830,831. a 6yo child presents with edema and mild proteinuria. no hematuria. what is the most likely dx? ,a. psgn,b. membranous gn,c. minimal change gn,d. RPGN,,,,,,,ans. the key is c. minimal change gn. [minimal change gn is usually seen in young children. it presents as edema and proteinuria]. 832. an 80yo woman suffering from ra presents with severe epigastric pain and vomiting. she also ,,,,
831,832. an 80yo woman suffering from ra presents with severe epigastric pain and vomiting. she also complains of shoulder tip pain. what is the single most discriminatory inv? ,a. us abdomen,b. sigmoidoscopy,c. colonscopy,d. Barium meal,e. upper gi endoscopy,f. erect cxr,,,,,"ans. the key is f. erect cxr. [elderly patient with ra is usually on nsaids which may lead to perforated peptic ulcer which presents as severe epigastric pain, vomiting and shoulder tip pain. diagnosis is made by seeing free gas shadow under the diaphragm on erect cxr]. 833. a 44yo man went on holiday to sudan 5wks ago. he now presents with red urine and fever. ",,,,
